id,name,level,exp,hp
8630014,Permeating Vanity,210,70858,19933200
8630015,Corrupted Basic Magician,200,54839,14880000
8630016,Corrupted Intermediate Magician,205,62589,17324600
8630017,Corrupted Advanced Magician,210,70858,19933200
8630020,Frozen Solitude,170,3558,4970800
8630021,Frozen Terror,171,3668,5148000
8630022,Frozen Rage,172,3780,5328000
8630023,Frozen Anxiety,173,3880,5510800
8630024,Frozen Vanity,174,3994,5696400
8630025,Burning Solitude,170,3558,4970800
8630026,Burning Terror,171,3668,5148000
8630027,Burning Anger,172,3780,5328000
8630028,Burning Anxiety,173,3880,5510800
8630029,Burning Vain,174,3994,5696400
8630030,Permeating Solitude,170,3558,4970800
8630031,Permeating Terror,171,3668,5148000
8630032,Permeating Anger,172,3780,5328000
8630033,Permeating Anxiety,173,3880,5510800
8630034,Permeating Vain,174,3994,5696400
8630035,Corrupted Basic Magician,172,3780,5328000
8630036,Corrupted Intermediate Magician,174,3994,5696400
8630037,Corrupted Advanced Magician,176,4226,6076000
8630038,Anti-magic,10,0,1000
8641000,Happy Erda,200,98708,44640000
8641001,Raging Erda,201,101389,46056000
8641002,Sad Erda,202,104101,47491200
8641003,Joyful Erda,203,107125,48945600
8641004,Stone Erda,204,109886,50419200
8641005,Blazing Erda,205,112662,51973800
8641006,Soulful Erda,206,115470,53487000
8641007,Tranquil Erda,207,118598,55019400
8641008,Lantern Erda,208,121453,56571000
8641009,Arma's Follower,209,0,58208400
8641010,Arma,209,0,194028000
8641011,Arma,209,1036020,504472800
8641012,Arma's Follower,209,124322,58208400
8641013,Joyful Erda,209,207204,100894560
8641014,Soulful Erda,209,207204,100894560
8641015,Arma's Follower,209,207204,100894560
8641016,Lantern Erda,208,121453,56571000
8641017,Lantern Erda,1,0,1
8642000,Pinedeer,210,248003,119599200
8642001,Bighorn Pinedeer,211,253673,122820000
8642002,Ewenana,210,248003,119599200
8642003,Ramanana,211,253673,122820000
8642004,Flyon,212,260047,126219600
8642005,Angry Flyon,213,265808,129519600
8642006,Unripe Wolfruit,212,260047,126219600
8642007,Ripe Wolfruit,213,265808,129519600
8642008,Green Catfish,214,271621,133003200
8642009,Blue Catfish,216,284043,139950000
8642010,Rhyturtle,215,278138,136530000
8642011,Boss Rhyturtle,216,284043,139950000
8642012,Crilia,217,290679,143560800
8642013,Patriarch Crilia,219,303394,150754800
8642014,Birdshark,218,296653,147060000
8642015,Patriarch Birdshark,219,303394,150754800
8642016,Slurpy Tree,219,303394,2000000000
8642017,Ripe Wolfruit,229,402466,506876800
8642018,Angry Flyon,229,402466,506876800
8642019,Blue Catfish,229,402466,506876800
8642020,Boss Rhyturtle,229,402466,506876800
8642021,Patriarch Crilia,229,402466,506876800
8642022,Patriarch Birdshark,229,402466,506876800
8642023,Birdshark,218,296653,147060000
8642024,Birdshark,1,0,1
8643000,Dreamkeeper,226,349836,216357400
8643001,Paper Bag Alley Citizen,220,309470,187966240
8643002,Wood Board Alley Citizen,221,316316,192566700
8643003,Gallina,221,316316,192566700
8643004,Gallus,222,322473,197219720
8643005,Angry Victory Plate,222,322473,197219720
8643006,Crooked Victory Plate,223,329417,201925300
8643007,Red Dancing Shoes,225,342720,211494140
8643008,Angry Masquerade Citizen,223,329417,201925300
8643009,Insane Masquerade Citizen,224,335675,206683440
8643010,Blue-eyed Gargoyle,227,356216,221273220
8643011,Red-eyed Gargoyle,228,363430,226241600
8643012,Weakened Dreamkeeper,224,335675,206683440
8643013,Music Box,230,0,100000000
8643014,Crooked Victory Plate,229,402466,506876800
8643015,Red Dancing Shoes,229,402466,506876800
8643016,Red-eyed Gargoyle,229,402466,506876800
8643017,Red-eyed Gargoyle,227,356216,221273220
8643018,Red-eyed Gargoyle,1,0,1
8644000,Water Spirit,230,393361,258998400
8644001,Sun Spirit,231,401055,264616000
8644002,Earth Spirit,232,408778,270291200
8644003,Snow Cloud Spirit,233,415702,276278400
8644004,Thunder Cloud Spirit,234,423542,282072000
8644005,Toxic Spirit,235,431459,288184000
8644006,Volatile Spirit,236,439402,294096000
8644007,Befuddled Spirit,237,446505,300065600
8644008,Anguished Spirit,238,454564,306363200
8644009,Mournful Spirit,239,462670,312451200
8644010,Discordant Spirit,240,470824,318873600
8644011,Corrupt Spirit of Harmony,240,0,637747200
8644012,Spirit Debris,230,393361,258998400
8644013,Spirit Debris,1,0,1
8644014,Snow Cloud Spirit,233,0,276278400
8644015,Thunder Cloud Spirit,234,0,282072000
8644016,Befuddled Spirit,237,0,300065600
8644017,Anguished Spirit,238,0,306363200
8644018,Mournful Spirit,239,0,312451200
8644019,Discordant Spirit,240,0,318873600
8644020,Water Spirit,230,0,258998400
8644021,Rock,1,0,1000000
8644101,Bound Rock Spirit,225,1,500000000
8644102,Bound Rock Spirit,225,1,500000000
8644103,Bound Rock Spirit,225,1,500000000
8644104,Bound Rock Spirit,225,1,500000000
8644105,Bound Rock Spirit,225,1,500000000
8644106,Bound Rock Spirit,225,1,500000000
8644107,Bound Rock Spirit,225,1,500000000
8644108,Bound Rock Spirit,225,1,500000000
8644109,Bound Rock Spirit,225,1,500000000
8644110,Bound Rock Spirit,225,1,500000000
8644111,Bound Rock Spirit,225,1,500000000
8644112,Bound Rock Spirit,225,1,500000000
8644201,Spirit Debris,225,393361,258998400
8644301,Toxic Stalker,235,0,288184000
8644302,Toxic Stalker,235,0,288184000
8644303,Toxic Stalker,235,0,288184000
8644304,Toxic Stalker,235,0,288184000
8644305,Toxic Stalker,235,0,288184000
8644400,Xenoroid Echo Type A,236,439402,294096000
8644401,Xenoroid Echo Type B,236,439402,294096000
8644402,Nameless Cat,237,446505,300065600
8644403,Powerful Gangster,238,454564,306363200
8644404,Strong Gangster,238,454564,306363200
8644405,Blue Shadow,239,462670,312451200
8644406,Red Shadow,240,470824,318873600
8644407,Experiment Gone Wrong,241,485614,406700000
8644408,Big Experiment Gone Wrong,241,485614,406700000
8644409,Thralled Guard,242,494006,414534000
8644410,Thralled Warhammer Knight,243,501461,422798000
8644411,Thralled Wizard,244,509964,431142000
8644412,Thralled Archer,245,518511,439566000
8644413,Xenoroid Echo Type C,236,439402,294096000
8644414,Xenoroid Echo Type C,1,0,1
8644415,Nameless Pigeon,236,439402,294096000
8644416,Nameless Pigeon,1,0,1
8644417,Floating Mace,236,439402,294096000
8644418,Floating Mace,1,0,1
8644419,Strengthened Arkarium,245,0,2100000000
8644420,Dark Reflection,129,0,550000000
8644421,Thralled Guard,242,0,414534000
8644422,Thralled Warhammer Knight,243,0,422798000
8644423,Thralled Wizard,244,0,431142000
8644424,Thralled Archer,245,0,439566000
8644425,Thralled Debris,236,439402,294096000
8644426,Thralled Debris,1,0,1
8800000,Zakum,110,0,16500000
8800001,Zakum2,110,0,22000000
8800002,Zakum,110,360340,7000000
8800003,Zakum's Arm 1,110,672000,700000
8800004,Zakum's Arm 2,110,672000,700000
8800005,Zakum's Arm 3,110,448000,700000
8800006,Zakum's Arm 4,110,448000,700000
8800007,Zakum's Arm 5,110,560000,700000
8800008,Zakum's Arm 6,110,560000,700000
8800009,Zakum's Arm 7,110,515200,700000
8800010,Zakum's Arm 8,110,515200,700000
8800011,Boogie,100,1,80000
8800012,Puco,100,1,80000
8800013,Punco,100,1,80000
8800014,Cuzco,100,1,80000
8800015,Opachu,100,1,80000
8800020,Crumbling Zakum,55,1,480000
8800021,Crumbling Zakum,55,1,720000
8800022,Crumbling Zakum,55,130000,2200000
8800023,Crumbling Zakum Arm 1,50,130000,204000
8800024,Crumbling Zakum Arm 2,50,130000,204000
8800025,Crumbling Zakum Arm 3,50,130000,204000
8800026,Crumbling Zakum Arm 4,50,130000,204000
8800027,Crumbling Zakum Arm 5,50,130000,204000
8800028,Crumbling Zakum Arm 6,50,130000,204000
8800029,Crumbling Zakum Arm 7,50,130000,204000
8800030,Crumbling Zakum Arm 8,50,130000,204000
8800031,Boogie,50,1,6000
8800032,Puco,50,1,6000
8800033,Punco,50,1,6000
8800034,Cuzco,50,1,6000
8800100,Chaos Zakum,140,1,748000000
8800101,Chaos Zakum,140,1,904000000
8800102,Chaos Zakum,180,887784,2100000000
8800103,Chaos Zakum Arm 1,180,161280,2100000000
8800104,Chaos Zakum Arm 2,180,161280,2100000000
8800105,Chaos Zakum Arm 3,180,161280,2100000000
8800106,Chaos Zakum Arm 4,180,161280,2100000000
8800107,Chaos Zakum Arm 5,140,161280,2100000000
8800108,Chaos Zakum Arm 6,180,161280,2100000000
8800109,Chaos Zakum Arm 7,180,161280,2100000000
8800110,Chaos Zakum Arm 8,180,161280,2100000000
8800111,Chaos Boogie,140,296,1000000000
8800112,Chaos Puko,140,361,1000000000
8800113,Chaos Poonko,140,446,1000000000
8800114,Chaos Kusko,140,610,1000000000
8800115,Chaos Ooparts,140,710,1000000000
8800116,Chaos Patz,140,282,1000000000
8800117,Fury's Flame,200,127,1000000000
8800118,Zakum: Stone Wall,125,127,5000000
8800119,Zakum: Magical Wall,125,127,5000000
8800120,Fury's Flame,125,127,5000000
8800130,Petrified Regeneration,125,127,5000000
8800131,Petrified Regeneration,125,127,5000000
8800132,Petrified Regeneration,125,127,5000000
8800133,Petrified Regeneration,125,127,5000000
8800134,Petrified Regeneration,125,127,5000000
8800135,Petrified Regeneration,125,127,5000000
8800136,Petrified Regeneration,125,127,5000000
8800137,Petrified Regeneration,125,127,5000000
8800141,Chaos Zakum Arm 1,180,1,2100000000
8800142,Chaos Zakum Arm 2,180,1,2100000000
8800143,Chaos Zakum Arm 3,180,1,2100000000
8800144,Chaos Zakum Arm 4,180,1,2100000000
8800145,Chaos Zakum Arm 5,140,1,2100000000
8800146,Chaos Zakum Arm 6,180,1,2100000000
8800147,Chaos Zakum Arm 7,180,1,2100000000
8800148,Chaos Zakum Arm 8,180,1,2100000000
8800200,Ravana,140,186430,516798500
8800201,Blue Goblin,140,7352,1087800
8800202,Red Goblin,140,7352,1087800
8800203,Stone Goblin,140,7352,1087800
8800400,Tarantulus,165,462800,57000000
8800401,Poison Hornet,160,6139,660000
8810000,Horntail's Left Head,160,2919609,330000000
8810001,Horntail's Right Head,160,2919609,330000000
8810002,Horntail's Head A,160,6951450,330000000
8810003,Horntail's Head B,160,6720000,490000000
8810004,Horntail's Head C,160,6951450,330000000
8810005,Horntail's Left Hand,160,4844950,230000000
8810006,Horntail's Right Hand,160,4844950,230000000
8810007,Horntail's Wings,160,5573799,270000000
8810008,Horntail's Legs,160,2704983,130000000
8810009,Horntail's Tails,160,1685200,80000000
8810010,Dead Horntail's Head A,140,1685200,66000000
8810011,Dead Horntail's Head B,140,1685200,66000000
8810012,Dead Horntail's Head C,140,1685200,66000000
8810013,Dead Horntail's Left Hand,140,1685200,66000000
8810014,Dead Horntail's Right Hand,140,1685200,66000000
8810015,Dead Horntail's Wings,140,1685200,66000000
8810016,Dead Horntail's Legs,140,1685200,66000000
8810017,Dead Horntail's Tails,140,1685200,66000000
8810018,Horntail,160,1685200,2090000000
8810019,Red Wyvern,97,800,79500
8810020,Blue Wyvern,101,1000,85500
8810021,Dark Wyvern,103,1050,120000
8810022,Green Cornian,100,1000,56000
8810023,Dark Cornian,105,1200,67000
8810024,Summon Horntail's Left Head,1,1200,40000
8810025,Summon Horntail's Right Head,1,1200,40000
8810026,Summon Horntail,1,1200,40000
8810100,Chaos Horntail's Left Head,160,3892812,1650000000
8810101,Chaos Horntail's Right Head,160,3892812,1650000000
8810102,Chaos Horntail's Head A,160,11122320,1650000000
8810103,Chaos Horntail's Head B,160,23021176,1950000000
8810104,Chaos Horntail's Head C ,160,11122320,1650000000
8810105,Chaos Horntail's Left Hand,160,7751920,1150000000
8810106,Chaos Horntail's Right Hand,160,7751920,1150000000
8810107,Chaos Horntail's Wings,160,9100080,1350000000
8810108,Chaos Horntail's Legs,160,4381520,650000000
8810109,Chaos Horntail's Tail,160,2696320,450000000
8810118,Chaos Horntail,160,2696320,2000000000
8810119,Chaos Horntail,160,2696320,2000000000
8810120,Chaos Horntail,160,2696320,2000000000
8810121,Chaos Horntail,160,2696320,2000000000
8810122,Chaos Horntail,160,2696320,10000000000
8810123,Chaos Red Wyvern,97,1200,159000
8810124,Chaos Blue Wyvern,101,1200,171000
8810125,Chaos Dark Wyvern,103,1300,240000
8810126,Chaos Green Cornian,100,1200,168000
8810127,Chaos Dark Cornian,105,1350,201000
8810128,Summon Chaos Horntail's Left Head,1,1350,40000
8810129,Summon Chaos Horntail's Right Head,1,1350,40000
8810130,Summon Chaos Horntail,1,0,40000
8810200,Easy Horntail's Left Head,130,291960,100000000
8810201,Easy Horntail's Right Head,130,291960,100000000
8810202,Easy Horntail's Head A,130,695145,100000000
8810203,Easy Horntail's Head B,130,672000,235200000
8810204,Easy Horntail's Head C,130,695145,100000000
8810205,Easy Horntail's Left Hand,130,484495,90800000
8810206,Easy Horntail's Right Hand,130,484495,90800000
8810207,Easy Horntail's Wings,130,557379,100000000
8810208,Easy Horntail's Legs,130,270498,67200000
8810209,Easy Horntail's Left Head,130,168520,33600000
8810210,Easy Red Wyvern,97,800,3975000
8810211,Easy Dark Wyvern,103,1050,4372500
8810212,Summon Easy Horntail's Left Head,1,1050,40000
8810213,Summon Easy Horntail's Right Head,1,1050,40000
8810214,Easy Horntail,130,1050,817600000
8810215,Summon Easy Horntail,1,1050,40000
8820000,Pink Bean,180,1050,1
8820001,Pink Bean,180,62900000,2100000000
8820002,Ariel,180,20000000,600000000
8820003,Solomon the Wise,180,3000000,300000000
8820004,Rex the Wise,180,3000000,300000000
8820005,Hugin,180,3500000,450000000
8820006,Munin,180,3500000,450000000
8820007,Mini Bean,150,11000,1515000
8820008,Transparent Mob for summoning baby boss,1,0,200000
8820009,set0 Transparent Mob,1,0,200000
8820010,Pink Bean,1,0,300000000
8820011,Pink Bean,1,0,600000000
8820012,Pink Bean,1,0,1050000000
8820013,Pink Bean,1,0,1500000000
8820014,Pink Bean,1,0,2100000000
8820015,Solomon the Wise,180,3000000,300000000
8820016,Rex the Wise,180,3000000,300000000
8820017,Hugin,180,3500000,450000000
8820018,Munin,180,3500000,450000000
8820019,Ariel,1,3500000,15
8820020,Solomon the Wise,1,3500000,15
8820021,Rex the Wise,1,3500000,15
8820022,Hugin,1,3500000,15
8820023,Munin,1,3500000,15
8820024,Solomon the Wise,1,3500000,15
8820025,Rex the Wise,1,3500000,15
8820026,Hugin,1,3500000,15
8820027,Munin,1,3500000,15
8820100,Chaos Pink Bean,180,3500000,1
8820101,Chaos Pink Bean,190,0,2100000000
8820102,Chaos Ariel,190,0,2100000000
8820103,Chaos Solomon the Wise,190,0,2100000000
8820104,Chaos Rex the Wise,190,0,2100000000
8820105,Chaos Hugin,190,0,2100000000
8820106,Chaos Munin,190,0,2100000000
8820107,Chaos Mini Bean,190,11000,9090000
8820108,Transparent Mob for summoning baby boss,1,0,200000
8820109,set0 Transparent Mob,1,0,200000
8820110,Chaos Pink Bean,1,0,1
8820111,Chaos Pink Bean,1,0,1
8820112,Chaos Pink Bean,1,0,1
8820113,Chaos Pink Bean,1,0,1
8820114,Chaos Pink Bean,1,0,1
8820115,Chaos Solomon the Wise,190,0,2100000000
8820116,Chaos Rex the Wise,190,0,2100000000
8820117,Chaos Hugin,190,0,2100000000
8820118,Chaos Munin,190,0,2100000000
8820200,Chaos Pink Bean,190,0,2100000000
8820201,Chaos Pink Bean,190,0,2100000000
8820202,Chaos Pink Bean,190,0,2100000000
8820203,Chaos Pink Bean,190,0,2100000000
8820204,Chaos Pink Bean,190,0,2100000000
8820205,Chaos Pink Bean,190,0,2100000000
8820206,Chaos Pink Bean,190,0,2100000000
8820207,Chaos Pink Bean,190,0,2100000000
8820208,Chaos Pink Bean,190,0,2100000000
8820209,Chaos Pink Bean,190,0,2100000000
8820210,Chaos Pink Bean,190,0,2100000000
8820211,Chaos Pink Bean,190,0,2100000000
8820212,Chaos Pink Bean,190,62900000,2100000000
8820213,Chaos Solomon the Wise,190,3000000,2100000000
8820214,Chaos Solomon the Wise,190,3000000,2100000000
8820215,Chaos Rex the Wise,190,3000000,2100000000
8820216,Chaos Rex the Wise,190,3000000,2100000000
8820217,Chaos Hugin,190,0,2100000000
8820218,Chaos Hugin,190,3500000,2100000000
8820219,Chaos Hugin,190,0,2100000000
8820220,Chaos Hugin,190,3500000,2100000000
8820221,Chaos Munin,190,0,2100000000
8820222,Chaos Munin,190,3500000,2100000000
8820223,Chaos Munin,190,0,2100000000
8820224,Chaos Munin,190,3500000,2100000000
8820225,Chaos Ariel,190,0,2100000000
8820226,Chaos Ariel,190,0,2100000000
8820227,Chaos Ariel,190,20000000,2100000000
8820300,Chaos Pink Bean I,1,20000000,10000000
8820301,Chaos Pink Bean II,1,20000000,10000000
8820302,Chaos Pink Bean III,1,20000000,10000000
8820303,Chaos Pink Bean IV,1,20000000,10000000
8820304,Chaos Pink Bean V,1,20000000,10000000
8830000,Balrog,70,20000000,4280000
8830001,Balrog,70,20000000,2640000
8830002,Balrog,70,20000000,3060000
8830003,Balrog,70,20000000,9980000
8830004,Balrog,1,20000000,600000000
8830005,Balrog,1,20000000,600000000
8830006,Balrog,1,20000000,1
8830007,Balrog,45,20000000,2400000
8830008,Balrog,49,20000000,1152000
8830009,Balrog,49,20000000,1235520
8830010,Balrog,50,20000000,4787520
8830011,Balrog,1,20000000,600000000
8830012,Balrog,1,20000000,600000000
8830013,Balrog,1,20000000,1
8840000,Von Leon,129,884000,550000000
8840001,Demon Gargoyle,125,2100,575000
8840002,Red Crocky,115,3594,190000
8840003,Prison Guard Boar,127,3594,12000000
8840004,Prison Guard Rhino,127,3594,12500000
8840005,Mini Castle Golem,123,3594,10000000
8840006,Von Leon,160,3594,2090000000
8840007,Von Leon,120,88400,700000000
8840008,Prison Guard Boar,120,88400,1500000
8840009,Prison Guard Rhino,120,88400,1500000
8840010,Von Leon,1,88400,40000
8840011,Mini Castle Golem,120,88400,5000000
8840012,Von Leon,160,88400,2090000000
8840013,Von Leon,1,88400,40000
8840014,Von Leon,150,5000000,2100000000
8840015,Prison Guard Boar,140,5000000,60000000
8840016,Prison Guard Rhino,140,5000000,60000000
8840017,Mini Castle Golem,135,5000000,125000000
8840018,Von Leon,1,5000000,40000
8850000,Mihile,188,3500000,2100000000
8850001,Oz,188,3500000,2100000000
8850002,Irena,188,3500000,2100000000
8850003,Eckhart,188,3500000,2100000000
8850004,Hawkeye,188,3500000,2100000000
8850005,Mihile,188,11122320,2100000000
8850006,Oz,188,11122320,2100000000
8850007,Irena,188,11122320,2100000000
8850008,Eckhart,188,11122320,2100000000
8850009,Hawkeye,188,11122320,2100000000
8850010,Shinsoo,190,0,2100000000
8850011,Cygnus,190,204000000,2100000000
8850012,Cygnus,1,204000000,40000
8850100,Mihile,140,1112232,1050000000
8850101,Oz,140,1112232,1050000000
8850102,Irena,140,1112232,1050000000
8850103,Eckhart,140,1112232,1050000000
8850104,Hawkeye,140,1112232,1050000000
8850110,Shinsoo,140,0,400000000
8850111,Cygnus,140,2040000,2100000000
8850112,Cygnus,1,2040000,40000
8860000,Arkarium,170,50000000,2100000000
8860001,Arkarium,130,2379,13500000
8860002,Netherworld Monk,140,155500,5000000
8860003,Duplicate in Twisted Darkness,129,884000,550000000
8860004,Arkarium Clear Check Dummy,160,884000,2090000000
8860005,Arkarium,130,5000000,2100000000
8860006,Netherworld Monk,130,150000,20000000
8860007,Arkarium,1,150000,40000
8860008,Dummy for Checking Purpose,200,99999,1800000000
8860009,Dummy for Checking Purpose,200,99999,1800000000
8860010,Arkarium,1,99999,40000
8870000,Hilla,120,5820000,315000000
8870001,Elite Pikeman Skeleknight,110,3594,285000
8870002,Elite Pikeman Skeleknight,110,5391,315000
8870003,Bloodfang,115,8985,525000
8870004,Bloodfang,115,8985,525000
8870005,Deadly Altar,115,0,1575000
8870100,Silver-Haired Hilla,190,20400000,2100000000
8870101,Elite Pikeman Skeleknight,185,17970,1260000
8870102,Elite Pikeman Skeleknight,185,29244,1890000
8870103,Bloodfang,188,97480,6900000
8870104,Bloodfang,188,194960,13800000
8870105,Deadly Altar,188,0,69000000
8870106,Pikeman Skeleknight,185,284340,34500000
8870107,Azwan Ghost,188,1112000,165000000
8870200,Hilla (Gray Maiden),190,204000000,210000000
8870201,Soultrapper Chalice,180,204000000,14400000
8870202,Azwan Grave Robber,120,3608,453600
8870203,Mysterious Desert Soldier,123,3910,504495
8880000,Magnus,190,22000000,2000000000
8880001,Magnus's Soul,190,22000000,1
8880002,Magnus,130,5300000,2000000000
8880004,Velderoth,128,99900,28000000
8880005,Velderoth's Soul,120,99900,1
8880006,Victor,124,95000,25000000
8880007,Victor's Soul,120,95000,1
8880008,Treglow,120,92000,22000000
8880009,Treglow's Soul,120,92000,1
8880010,Magnus,110,1200000,400000000
8880011,Magnus's Soul,110,1200000,1
8880100,Damien,210,22000000,??????
8880101,Damien,210,22000000,??????
8880102,Shadow Zone,190,19,2000000000
8880103,Damien,210,19,210000000
8880110,Damien,210,22000000,??????
8880111,Damien,210,22000000,??????
8880120,Damien,150,22000000,700000000
8880121,Damien,150,22000000,700000000
8880130,Damien,150,22000000,350000000
8880131,Damien,150,22000000,350000000
8880140,Dreaming Lucid,230,22000000,??????
8880141,Dreaming Lucid,230,22000000,??????
8880150,Lucid,230,30000000,??????
8880151,Lucid,230,30000000,??????
8880152,Lucid,230,30000000,100000000
8880153,Lucid,230,30000000,??????
8880154,Lucid,230,30000000,1000000
8880160,Nightmare Golem,230,30000000,32374800
8880161,Nightmare Golem,230,0,150000000
8880162,Binding Flower,230,0,35690625
8880163,Binding Flower,230,0,360000000
8880164,Nightmare Mushroom,230,0,150000000
8880165,Nightmare Butterfly,230,0,32374800
8880166,Nightmare Flower,230,0,32374800
8880167,Final Music Box,230,0,360000000
8880168,Nightmare Butterfly,230,0,32374800
8880169,Nightmare Butterfly,230,0,32374800
8880170,Nightmare Golem,230,0,32374800
8880171,Nightmare Golem,230,0,500000000
8880175,Nightmare Butterfly,230,0,32374800
8880176,Nightmare Flower,230,0,32374800
8880177,Final Music Box,230,0,360000000
8880178,Nightmare Butterfly,230,0,32374800
8880179,Nightmare Butterfly,230,0,32374800
8880180,Nightmare Golem,230,0,32374800
8880181,Nightmare Golem,230,0,??????
8880182,Nightmare Golem,230,0,32374800
8880183,Nightmare Golem,230,0,??????
8880184,Nightmare Mushroom,230,0,??????
8880185,Nightmare Mushroom,230,0,??????
8880190,Dreaming Lucid,230,0,??????
8880191,Lucid,230,1000000,??????
8880192,Nightmare Golem,230,1000000,171874000
8880193,Nightmare Golem,230,0,171874000
8880194,Nightmare Golem,230,0,171874000
8880195,Nightmare Golem,230,0,171874000
8880196,Nightmare Flower,230,0,32374800
8880197,Music Box,230,0,360000000
8880200,OMNI-CLN,180,2040000,1680000000
8880201,Wipe-O-Matic,179,26864,6666400
8880202,Dr. Zindelblarp,55,4960,335000
8881000,Ursus,129,88400,2100000000
8890000,Black Mage's Henchman A,200,99999,1800000000
8890001,Black Mage's Henchman A,200,99999,1800000000
8890002,Black Mage's Henchman B,200,99999,1800000000
8900000,Chaos Pierre,190,99999,2000000000
8900001,Chaos Pierre,190,99999,2000000000
8900002,Chaos Pierre,190,99999,2000000000
8900003,Chaos Pierre,190,99999,1000
8900100,Pierre,120,99999,315000000
8900101,Pierre,120,99999,315000000
8900102,Pierre,120,99999,315000000
8900103,Pierre's Treasure Chest,120,99999,1000
8910000,Chaos Von Bon,190,99999,2000000000
8910001,Chaos Disembodied Von Bon,190,99999,800000000
8910100,Von Bon,120,99999,315000000
8910101,Disembodied Von Bon,180,99999,20000000
8920000,Chaos Crimson Queen,190,99999,2000000000
8920001,Chaos Crimson Queen,190,99999,2000000000
8920002,Chaos Crimson Queen,190,99999,2000000000
8920003,Chaos Crimson Queen,190,99999,2000000000
8920004,Chaos Heart Bomb,190,99999,20
8920005,Chaos Alluring Mirror,190,99999,550000000
8920006,Chaos Crimson Queen,190,99999,1000
8920100,Crimson Queen,120,99999,315000000
8920101,Crimson Queen,120,99999,315000000
8920102,Crimson Queen,120,99999,315000000
8920103,Crimson Queen,120,99999,315000000
8920104,Heart Bomb,120,99999,20
8920105,Alluring Mirror,120,99999,5500000
8920106,Crimson Queen's Treasure Chest,120,99999,1000
8930000,Chaos Vellum,190,99999,2000000000
8930001,Chaos Vellum's Tail,190,99999,2000000000
8930100,Vellum,130,99999,550000000
8930101,Vellum's Tail,188,3500000,600000
8940000,Hekaton's Head,30,0,?????????????????
8940001,Hekaton,30,0,?????????????????
8940002,Hekaton's Abdomen,30,0,?????????????????
8940003,Hekaton's Fist,30,0,?????????????
8940004,Hekaton's Fist,30,0,?????????????
8940005,Hekaton's Arm,30,0,?????????????????
8940006,Hekaton's Arm,30,0,?????????????????
8940007,Hekaton's Shoulder,30,0,?????????????????
8940008,Hekaton's Shoulder,30,0,?????????????????
8940009,Core Guard,180,0,100000000
8940010,Palace Gargoyle Golem,30,0,11000
8940011,Transformed Gargoyle Golem,30,0,13300
8940012,Gargoyle Golem,30,0,9999
8940013,Gargoyle Guardian,30,0,9000
8940014,Hekaton,180,0,100000000
8940015,Hekaton,180,0,100000000
8940016,Hekaton,180,0,100000000
8940017,Hekaton,180,0,100000000
8940018,Hekaton,180,0,100000000
8940019,Hekaton,180,0,100000000
8940020,Hekaton,180,0,100000000
8940021,Hekaton,180,0,100000000
8940022,Hekaton,180,0,100000000
8940023,Hekaton,180,0,100000000
8940024,Hekaton,180,0,100000000
8940025,Hekaton,180,0,100000000
8940026,Hekaton,180,0,100000000
8940027,Hekaton,180,0,100000000
8940028,Hekaton,180,0,100000000
8940029,Hekaton,180,0,100000000
8940030,Hekaton,180,0,100000000
8940031,Hekaton,180,0,100000000
8940032,Hekaton,180,0,100000000
8940033,Hekaton,180,0,100000000
8940034,Hekaton,180,0,100000000
8940035,Hekaton,180,0,100000000
8940036,Hekaton,180,0,100000000
8940037,Hekaton,180,0,100000000
8940038,Hekaton,180,0,100000000
8940039,Hekaton,180,0,100000000
8940040,Hekaton,180,0,100000000
8950000,Black Heaven Core,210,0,????????????
8950001,Lotus,210,0,????????????
8950002,Lotus,210,30000000,????????????
8950003,Self-destructive Red,190,0,2000000000
8950004,Self-destructive Blue,190,0,2000000000
8950005,Self-destructive Yellow,190,0,2000000000
8950006,Lotus,210,0,2000000000
8950007,Self-destructive Chaos,190,0,2000000000
8950100,Black Heaven Core,210,0,????????????
8950101,Lotus,210,0,????????????
8950102,Lotus,210,30000000,????????????
8950103,Detonating Red,190,0,1000000000
8950104,Detonating Blue,190,0,1000000000
8950105,Detonating Yellow,190,0,1000000000
8950106,Lotus,210,0,2000000000
8950107,Detonating Chaos,190,0,1000000000
8950108,Lotus,210,0,210000000
9000001,Zombie Lupin,35,0,1400
9000002,Horned Mushroom 2,35,0,1400
9000100,Skeledog,35,0,1400
9000101,Lupin 2,35,0,1400
9000200,Evil Eye 2,35,0,1400
9000201,Stone Golem,35,0,1400
9000300,Swamp Monster,35,0,1400
9000301,Blue Mushroom 2,35,0,1400
9001000,Dances with Balrog's Clone,70,2000,130000
9001001,Grendel the Really Old's Clone,70,2000,80000
9001002,Athena Pierce's Clone,70,2000,100000
9001003,Dark Lord's Clone,70,2000,100000
9001004,Shadow Kyrin,70,2000,110000
9001005,OctoPirate,35,2000,1400
9001006,OctoPirate,35,2000,1400
9001007,Scarecrow for Training,35,2000,1400
9001008,Shadow Kyrin's Clone,70,2000,25000
9001009,Master of Disguise,80,2000,150000
9001010,Black Witch,120,2000,9300000
9001011,Tiguru of Exam,35,2000,1400
9001012,Scarred Bear,35,2000,1400
9001013,Thief Crow,70,2000,130000
9001014,Uncontrollable Maha,100,2000,2000000
9001015,Shadow Dual Blade,20,35,375
9001016,Giant Shadow Blade,25,44,525
9001017,Shadow Blade Lord,30,60,900
